یه یک
دیگه دیگر
همدیگه همدیگر
اون آن
اگه اگر
اقای آقای
اینا این‌ها
واسه برای
مگه مگر
خودشون خودشان
همون همان
ایشون ایشان
اینقدر این‌قدر
هایی هایی
اونم آن هم
وایساده ایستاده
اوس استاد
اوسا استاد
باهاس باید
اینقد این‌قدر
برا برای
اروا ارواح
امبر انبر
پمبه پنبه
پوس پوست
جاهاد جهاد
جمبه جنبه
چن چند
چکار چیکار
دس دست
دیقه دقیقه
دقه دقیقه
دمبه دنبه
دورود درود
دوس دوست
سورود سرود
سیبیل سبیل
شمبه شنبه
شیش شش
صاحاب صاحب
صب صبر
صب صبح
کا کاه
کوجا کجا
کیلید کلید
وخ وقت
وخت وقت
نگا نگاه
نیگا نگاه
آخه آخر
اونا آن‌ها
اونجا آنجا
اونها آن‌ها
آتیش آتش
آروم آرام
ابرام ابراهیم
بادوم بادام
باهار بهار
البت البته
پیرن پیراهن
تموم تمام
تیکه تکه
جیگر جگر
زیگیل زگیل
سیا سیاه
چار چهار
چاهار چهار
چل چهل
چیه چیست
حروم حرام
خانوم خانم
دفه دفعه
سیریش سریش
کدوم کدام
هرکدوم هرکدام
کوچیک کوچک
مث مثل
مرتیکه مردکه
ناخون ناخن
ناهار نهار
مش مشهدی
مشد مشهدی
مشتی مشهدی
مشدی مشهدی
خونه خانه
چیزا چیزها
کسایی کسانی
شبا شب‌ها
توی در
گوله گلوله
رودخونه رودخانه
حیوون حیوان
حیوونا حیوان‌ها
شهرا شهرها
بهونه بهانه
سوغاتیا سوغاتی‌ها
کتابا کتاب‌ها
مونده مانده
تونست توانست
همینجا همین جا
براتون برایتان
آشپزخونه آشپزخانه
اونقدر آنقدر
رفتارا رفتارها
همش همه‌اش
یبار یکبار
براش برایش
هام هایم
هاش هایش
پیشونی پیشانی
تمرینا تمرین‌ها
اونقدرها آنقدرها
اخه آخر
بازم باز هم
زمونه زمانه
واقعا واقعاً
واقعن واقعاً
ایا آیا
نشون نشان
پیامنور پیام‌نور
بیشمار بی‌شمار
اموزشگاه‌ آموزشگاه
ازاد آزاد
هواس حواس
اینکار این کار
انقدر آنقدر
کاملا کاملاً
کاملن کاملاً
حتما حتماً
حتمن حتماً
اصولا اصولاً
اصولن اصولاً
ابدا ابداً
ابدن ابداً
اتفاقا اتفاقاً
اتفاقن اتفاقاً
کلا کلاً
کلن کلاً
ذاتا ذاتاً
ذاتن ذاتاً
قطعا قطعاً
قطعن قطعاً
دائما دائماً
دائمن دائماً
شدیدا شدیداً
شدیدن شدیداً
کرونا کرونا
اولا اولاً
اولن اولاً
بعدا بعداً
بعدن بعداً
خواهشا خواهشاً
خواهشن خواهشاً
سیبیلو سیبیلو
مستقیما مستقیماً
مستقیمن مستقیماً
مطمئنا مطمئناً
مطمئنن مطمئناً
نهایتا نهایتاً
نهایتن نهایتاً
ضمنا ضمناً
ضمنن ضمناً
برایم برایم
دهن دهان
تقریبا تقریباً
تقریبن تقریباً
شخصا شخصاً
شخصن شخصاً
خوندن خواندن
تون تان
شون شان
مون مان
انرا آن را
آنرا آن را
مثه مثل
ادم آدم
جوون جوان
مثلا مثلاً
مثلن مثلاً
عملا عملاً
عملن عملاً
ازمون آزمون
دقیقا دقیقاً
دقیقن دقیقاً
صرفا صرفاً
صرفن صرفاً
لطفا لطفاً
لطفن لطفاً
یقینا یقیناً
یقینن یقیناً
فعلا فعلاً
فعلن فعلاً
اکثرا اکثراً
اکثرن اکثراً
